id,community_id,tag_id
093a9424-ddc6-41e1-b704-a85b7e87118a,b54e682f-bb7c-48c7-97bd-8df146932c84,f9a42e0d-56ba-4e6d-9d5b-70bff3572544
17c49f71-2e06-4b52-a5fd-ee63e4babac5,366b412c-24da-4048-b836-5055a60089de,139b46d8-c33b-4720-b771-784a99fc5ba0
236165da-812e-4d50-a3a9-2dbc5031cdda,ea974346-9fe4-4ca1-a2b2-342b4ecc40e5,fd9ff3ac-d672-47aa-8ad8-6033f49658a6
244b8d86-6107-4103-93dd-3c4678ae1d80,d7027a75-6bcd-453c-b11b-fc522d018f25,0048b889-1b62-4769-b4dc-e439952d227b
27c0adba-f938-4b9b-8d5b-069725e2b215,60ea49ef-4d31-40c0-85c6-ce7bcf39c621,40475abc-bbf3-4ea0-ac44-070facbcecb7
2fdf8e8a-a830-41b7-b969-415f56ca26dc,ea974346-9fe4-4ca1-a2b2-342b4ecc40e5,74cdf81e-9b72-4b80-b733-dd16509eb7f9
38e4d488-a2f2-4528-b39f-520b2a365fc9,366b412c-24da-4048-b836-5055a60089de,1c0f3730-9837-487b-8ba2-e56d39e94878
39c221bf-1635-4f0c-9033-534e93a8e466,854a4e00-546d-4ce2-9e85-09617dc850ad,98f83202-01a1-411a-b2e3-6d46c67f6136
4053bc0e-442c-4798-9f07-7ce90475f72f,c5da666d-b32b-4e7a-a1cf-596728de0f6c,26721686-1dc3-45e8-9562-507629b623b6
41593adc-8a33-4eb0-9672-522e2aecc67a,8dace69f-98bc-42dc-8da5-cb2b070d492c,a4ad7d4a-9be3-4353-930e-11a6297b050a
4595ac6a-c024-4ac7-9e1b-aad269ce9d65,fd7e8237-1f9e-4dfc-95a5-69f58c29b011,40475abc-bbf3-4ea0-ac44-070facbcecb7
48f85c08-e43d-46c8-b020-ab16901fd694,60ea49ef-4d31-40c0-85c6-ce7bcf39c621,0048b889-1b62-4769-b4dc-e439952d227b
4cecb5cf-c6a7-4d9f-a4c1-82e6bf8d87f2,99634b58-b02a-4c1b-b06d-f360c9176f87,f9a42e0d-56ba-4e6d-9d5b-70bff3572544
53409774-7e37-47aa-ac72-3cfad597fe54,4cc92655-5967-483b-a428-714749f90774,0048b889-1b62-4769-b4dc-e439952d227b
5451b7af-e8c0-4ce6-9ac2-0378956f9428,65f2587a-e692-4f27-b378-e2faec0ce0e3,f52d3abf-0817-461b-9547-0c6008c7c628
5aff22b1-5a96-4fd6-8507-3bc4fa27b015,d7027a75-6bcd-453c-b11b-fc522d018f25,758f1863-9d1c-43ae-81b0-3e321ad5b0f2
5d91dbd8-1af9-4ea5-b736-f4efb86eaee1,65f2587a-e692-4f27-b378-e2faec0ce0e3,bddd75d5-6d27-438b-abe0-502a21cd90e6
624ce41c-2cc7-4281-90ea-27dcd17c3d42,fd7e8237-1f9e-4dfc-95a5-69f58c29b011,6fcce053-4054-4f87-90a4-7688ac6df0e8
